time,open,close,high,low 
2021-04-06 02:39:00,1.18072,1.18057,1.18072,1.18054
2021-04-06 02:40:00,1.18057,1.18064,1.18076,1.18057
2021-04-06 02:41:00,1.18064,1.18074,1.18074,1.18056
2021-04-06 02:42:00,1.18074,1.18056,1.18074,1.18055
2021-04-06 02:43:00,1.18057,1.18064,1.18069,1.18055
2021-04-06 02:44:00,1.18061,1.18065,1.18073,1.18057
2021-04-06 02:45:00,1.18064,1.18071,1.18072,1.18055
2021-04-06 02:46:00,1.18069,1.18070,1.18072,1.18055
2021-04-06 02:47:00,1.18070,1.18072,1.18074,1.18058
2021-04-06 02:48:00,1.18073,1.18069,1.18076,1.18061
2021-04-06 02:49:00,1.18068,1.18077,1.18078,1.18062
2021-04-06 02:50:00,1.18077,1.18080,1.18080,1.18076
2021-04-06 02:51:00,1.18080,1.18063,1.18080,1.18062
2021-04-06 02:52:00,1.18064,1.18062,1.18069,1.18062
2021-04-06 02:53:00,1.18062,1.18063,1.18064,1.18055
2021-04-06 02:54:00,1.18062,1.18066,1.18067,1.18054
2021-04-06 02:55:00,1.18067,1.18070,1.18071,1.18055
2021-04-06 02:56:00,1.18069,1.18061,1.18072,1.18060
2021-04-06 02:57:00,1.18061,1.18078,1.18078,1.18061
2021-04-06 02:58:00,1.18077,1.18079,1.18083,1.18076
2021-04-06 02:59:00,1.18080,1.18079,1.18080,1.18075
2021-04-06 03:00:00,1.18079,1.18077,1.18079,1.18076
2021-04-06 03:01:00,1.18077,1.18072,1.18078,1.18072
2021-04-06 03:02:00,1.18072,1.18066,1.18072,1.18066
2021-04-06 03:03:00,1.18066,1.18062,1.18077,1.18062
2021-04-06 03:04:00,1.18060,1.18057,1.18072,1.18053
2021-04-06 03:05:00,1.18058,1.18047,1.18061,1.18043
2021-04-06 03:06:00,1.18047,1.18048,1.18048,1.18044
2021-04-06 03:07:00,1.18049,1.18052,1.18063,1.18049
2021-04-06 03:08:00,1.18050,1.18065,1.18068,1.18049
2021-04-06 03:09:00,1.18065,1.18060,1.18066,1.18056
2021-04-06 03:10:00,1.18060,1.18055,1.18064,1.18050
2021-04-06 03:11:00,1.18055,1.18048,1.18062,1.18048
2021-04-06 03:12:00,1.18046,1.18046,1.18059,1.18044
2021-04-06 03:13:00,1.18046,1.18050,1.18062,1.18046
2021-04-06 03:14:00,1.18050,1.18053,1.18059,1.18046
2021-04-06 03:15:00,1.18054,1.18053,1.18054,1.18051
2021-04-06 03:16:00,1.18053,1.18046,1.18055,1.18046
2021-04-06 03:17:00,1.18046,1.18048,1.18049,1.18046
2021-04-06 03:18:00,1.18050,1.18049,1.18050,1.18049
2021-04-06 03:19:00,1.18050,1.18049,1.18050,1.18045
2021-04-06 03:20:00,1.18049,1.18050,1.18053,1.18047
2021-04-06 03:21:00,1.18048,1.18043,1.18049,1.18043
2021-04-06 03:22:00,1.18042,1.18048,1.18048,1.18041
2021-04-06 03:23:00,1.18047,1.18047,1.18049,1.18046
2021-04-06 03:24:00,1.18047,1.18046,1.18047,1.18046
2021-04-06 03:25:00,1.18046,1.18043,1.18046,1.18040
2021-04-06 03:26:00,1.18045,1.18040,1.18045,1.18040
2021-04-06 03:27:00,1.18039,1.18038,1.18039,1.18038
2021-04-06 03:28:00,1.18038,1.18026,1.18038,1.18025
2021-04-06 03:29:00,1.18025,1.18024,1.18025,1.18019
2021-04-06 03:30:00,1.18024,1.18023,1.18029,1.18021
2021-04-06 03:31:00,1.18024,1.18023,1.18026,1.18021
2021-04-06 03:32:00,1.18023,1.18025,1.18026,1.18021
2021-04-06 03:33:00,1.18026,1.18029,1.18031,1.18026
2021-04-06 03:34:00,1.18028,1.18023,1.18028,1.18022
2021-04-06 03:35:00,1.18021,1.18024,1.18032,1.18021
2021-04-06 03:36:00,1.18025,1.18028,1.18030,1.18024
2021-04-06 03:37:00,1.18029,1.18030,1.18030,1.18026
2021-04-06 03:38:00,1.18029,1.18026,1.18030,1.18026
2021-04-06 03:39:00,1.18026,1.18025,1.18026,1.18021
2021-04-06 03:40:00,1.18026,1.18021,1.18026,1.18021
2021-04-06 03:41:00,1.18021,1.18023,1.18023,1.18021
2021-04-06 03:42:00,1.18022,1.18020,1.18023,1.18019
2021-04-06 03:43:00,1.18020,1.18018,1.18020,1.18017
2021-04-06 03:44:00,1.18017,1.18015,1.18017,1.18010
2021-04-06 03:45:00,1.18014,1.18006,1.18016,1.18006
2021-04-06 03:46:00,1.18005,1.18010,1.18010,1.18000
2021-04-06 03:47:00,1.18011,1.18015,1.18017,1.18010
2021-04-06 03:48:00,1.18016,1.18019,1.18019,1.18015
2021-04-06 03:49:00,1.18019,1.18019,1.18020,1.18016
2021-04-06 03:50:00,1.18017,1.18016,1.18019,1.18015
2021-04-06 03:51:00,1.18016,1.18021,1.18021,1.18016
2021-04-06 03:52:00,1.18019,1.18022,1.18026,1.18017
2021-04-06 03:53:00,1.18022,1.18028,1.18029,1.18022
2021-04-06 03:54:00,1.18030,1.18033,1.18037,1.18029
2021-04-06 03:55:00,1.18031,1.18029,1.18033,1.18026
2021-04-06 03:56:00,1.18029,1.18026,1.18030,1.18026
2021-04-06 03:57:00,1.18026,1.18027,1.18028,1.18023
2021-04-06 03:58:00,1.18025,1.18026,1.18026,1.18021
2021-04-06 03:59:00,1.18025,1.18029,1.18030,1.18024
2021-04-06 04:00:00,1.18031,1.18033,1.18035,1.18031
2021-04-06 04:01:00,1.18033,1.18032,1.18033,1.18032
2021-04-06 04:02:00,1.18031,1.18024,1.18031,1.18023
2021-04-06 04:03:00,1.18025,1.18024,1.18027,1.18022
2021-04-06 04:04:00,1.18025,1.18030,1.18030,1.18025
2021-04-06 04:05:00,1.18029,1.18033,1.18034,1.18028
2021-04-06 04:06:00,1.18034,1.18035,1.18036,1.18033
2021-04-06 04:07:00,1.18034,1.18035,1.18035,1.18033
2021-04-06 04:08:00,1.18035,1.18036,1.18036,1.18035
2021-04-06 04:09:00,1.18037,1.18044,1.18044,1.18036
2021-04-06 04:10:00,1.18044,1.18045,1.18047,1.18042
2021-04-06 04:11:00,1.18043,1.18053,1.18053,1.18043
2021-04-06 04:12:00,1.18052,1.18053,1.18053,1.18050
2021-04-06 04:13:00,1.18052,1.18049,1.18054,1.18048
2021-04-06 04:14:00,1.18048,1.18051,1.18051,1.18048
2021-04-06 04:15:00,1.18052,1.18055,1.18056,1.18050
2021-04-06 04:16:00,1.18054,1.18053,1.18054,1.18049
2021-04-06 04:17:00,1.18052,1.18053,1.18053,1.18051
2021-04-06 04:18:00,1.18052,1.18052,1.18053,1.18051
2021-04-06 04:19:00,1.18052,1.18057,1.18058,1.18052
2021-04-06 04:20:00,1.18057,1.18051,1.18057,1.18051
2021-04-06 04:21:00,1.18051,1.18056,1.18058,1.18051
2021-04-06 04:22:00,1.18055,1.18051,1.18055,1.18048
2021-04-06 04:23:00,1.18051,1.18052,1.18058,1.18047
2021-04-06 04:24:00,1.18051,1.18055,1.18057,1.18051
2021-04-06 04:25:00,1.18054,1.18050,1.18055,1.18050
2021-04-06 04:26:00,1.18050,1.18052,1.18055,1.18050
2021-04-06 04:27:00,1.18052,1.18056,1.18056,1.18052
2021-04-06 04:28:00,1.18057,1.18066,1.18066,1.18057
2021-04-06 04:29:00,1.18064,1.18067,1.18068,1.18062
2021-04-06 04:30:00,1.18066,1.18066,1.18066,1.18061
2021-04-06 04:31:00,1.18066,1.18077,1.18077,1.18066
2021-04-06 04:32:00,1.18076,1.18073,1.18078,1.18072
2021-04-06 04:33:00,1.18072,1.18079,1.18079,1.18071
2021-04-06 04:34:00,1.18079,1.18077,1.18081,1.18074
2021-04-06 04:35:00,1.18077,1.18082,1.18082,1.18077
2021-04-06 04:36:00,1.18082,1.18079,1.18082,1.18077
2021-04-06 04:37:00,1.18080,1.18101,1.18102,1.18080
2021-04-06 04:38:00,1.18101,1.18098,1.18101,1.18097
2021-04-06 04:39:00,1.18099,1.18094,1.18100,1.18093
2021-04-06 04:40:00,1.18092,1.18091,1.18092,1.18090
2021-04-06 04:41:00,1.18092,1.18091,1.18092,1.18091
2021-04-06 04:42:00,1.18091,1.18090,1.18092,1.18089
2021-04-06 04:43:00,1.18091,1.18096,1.18096,1.18091
2021-04-06 04:44:00,1.18095,1.18090,1.18095,1.18089
2021-04-06 04:45:00,1.18089,1.18086,1.18089,1.18084
2021-04-06 04:46:00,1.18086,1.18080,1.18088,1.18080
2021-04-06 04:47:00,1.18080,1.18074,1.18080,1.18073
2021-04-06 04:48:00,1.18073,1.18075,1.18075,1.18072
2021-04-06 04:49:00,1.18078,1.18073,1.18080,1.18073
2021-04-06 04:50:00,1.18073,1.18078,1.18082,1.18073
2021-04-06 04:51:00,1.18079,1.18077,1.18080,1.18074
2021-04-06 04:52:00,1.18077,1.18072,1.18077,1.18069
2021-04-06 04:53:00,1.18070,1.18071,1.18071,1.18066
2021-04-06 04:54:00,1.18069,1.18065,1.18070,1.18064
2021-04-06 04:55:00,1.18065,1.18066,1.18066,1.18064
2021-04-06 04:56:00,1.18065,1.18059,1.18066,1.18056
2021-04-06 04:57:00,1.18058,1.18056,1.18058,1.18055
2021-04-06 04:58:00,1.18058,1.18067,1.18067,1.18056
2021-04-06 04:59:00,1.18066,1.18058,1.18069,1.18056
2021-04-06 05:00:00,1.18059,1.18062,1.18065,1.18056
2021-04-06 05:01:00,1.18065,1.18065,1.18066,1.18062
2021-04-06 05:02:00,1.18067,1.18086,1.18088,1.18067
2021-04-06 05:03:00,1.18085,1.18081,1.18085,1.18079
2021-04-06 05:04:00,1.18082,1.18082,1.18084,1.18075
2021-04-06 05:05:00,1.18084,1.18096,1.18096,1.18084
2021-04-06 05:06:00,1.18095,1.18099,1.18101,1.18093
2021-04-06 05:07:00,1.18097,1.18091,1.18097,1.18090
2021-04-06 05:08:00,1.18092,1.18099,1.18100,1.18092
2021-04-06 05:09:00,1.18099,1.18102,1.18104,1.18095
2021-04-06 05:10:00,1.18103,1.18095,1.18103,1.18094
2021-04-06 05:11:00,1.18094,1.18089,1.18095,1.18087
2021-04-06 05:12:00,1.18091,1.18089,1.18091,1.18086
2021-04-06 05:13:00,1.18088,1.18089,1.18090,1.18083
2021-04-06 05:14:00,1.18090,1.18082,1.18092,1.18082
2021-04-06 05:15:00,1.18082,1.18074,1.18083,1.18073
2021-04-06 05:16:00,1.18076,1.18087,1.18087,1.18076
2021-04-06 05:17:00,1.18085,1.18091,1.18093,1.18085
2021-04-06 05:18:00,1.18091,1.18086,1.18091,1.18086
2021-04-06 05:19:00,1.18086,1.18077,1.18086,1.18075
2021-04-06 05:20:00,1.18076,1.18080,1.18080,1.18074
2021-04-06 05:21:00,1.18078,1.18075,1.18078,1.18075
2021-04-06 05:22:00,1.18075,1.18069,1.18076,1.18068
2021-04-06 05:23:00,1.18070,1.18070,1.18073,1.18065
2021-04-06 05:24:00,1.18071,1.18086,1.18086,1.18071
2021-04-06 05:25:00,1.18085,1.18086,1.18089,1.18085
2021-04-06 05:26:00,1.18086,1.18087,1.18090,1.18086
2021-04-06 05:27:00,1.18087,1.18090,1.18091,1.18087
2021-04-06 05:28:00,1.18090,1.18093,1.18096,1.18090
2021-04-06 05:29:00,1.18093,1.18086,1.18093,1.18086
2021-04-06 05:30:00,1.18084,1.18089,1.18095,1.18083
2021-04-06 05:31:00,1.18090,1.18091,1.18092,1.18088
2021-04-06 05:32:00,1.18092,1.18097,1.18098,1.18091
2021-04-06 05:33:00,1.18098,1.18097,1.18100,1.18096
2021-04-06 05:34:00,1.18098,1.18095,1.18099,1.18093
2021-04-06 05:35:00,1.18094,1.18092,1.18095,1.18090
2021-04-06 05:36:00,1.18091,1.18086,1.18092,1.18085
2021-04-06 05:37:00,1.18087,1.18075,1.18089,1.18075
2021-04-06 05:38:00,1.18075,1.18085,1.18085,1.18071
2021-04-06 05:39:00,1.18083,1.18082,1.18083,1.18078
2021-04-06 05:40:00,1.18081,1.18077,1.18081,1.18076
2021-04-06 05:41:00,1.18077,1.18067,1.18078,1.18065
2021-04-06 05:42:00,1.18068,1.18080,1.18080,1.18065
2021-04-06 05:43:00,1.18077,1.18082,1.18088,1.18076
2021-04-06 05:44:00,1.18082,1.18096,1.18096,1.18082
2021-04-06 05:45:00,1.18096,1.18091,1.18096,1.18087
2021-04-06 05:46:00,1.18093,1.18102,1.18102,1.18091
2021-04-06 05:47:00,1.18104,1.18106,1.18110,1.18100
2021-04-06 05:48:00,1.18106,1.18104,1.18106,1.18101
2021-04-06 05:49:00,1.18106,1.18110,1.18111,1.18103
2021-04-06 05:50:00,1.18109,1.18109,1.18110,1.18107
2021-04-06 05:51:00,1.18108,1.18107,1.18110,1.18101
2021-04-06 05:52:00,1.18109,1.18103,1.18110,1.18103
2021-04-06 05:53:00,1.18102,1.18098,1.18103,1.18096
2021-04-06 05:54:00,1.18099,1.18100,1.18100,1.18099
2021-04-06 05:55:00,1.18100,1.18109,1.18110,1.18100
2021-04-06 05:56:00,1.18110,1.18120,1.18120,1.18103
2021-04-06 05:57:00,1.18120,1.18117,1.18124,1.18117
2021-04-06 05:58:00,1.18114,1.18124,1.18124,1.18112
2021-04-06 05:59:00,1.18123,1.18109,1.18123,1.18108
2021-04-06 06:00:00,1.18110,1.18118,1.18130,1.18109
2021-04-06 06:01:00,1.18117,1.18121,1.18124,1.18113
2021-04-06 06:02:00,1.18118,1.18113,1.18124,1.18107
2021-04-06 06:03:00,1.18112,1.18123,1.18126,1.18112
2021-04-06 06:04:00,1.18123,1.18118,1.18127,1.18113
2021-04-06 06:05:00,1.18122,1.18123,1.18128,1.18119
2021-04-06 06:06:00,1.18124,1.18127,1.18133,1.18123
2021-04-06 06:07:00,1.18127,1.18127,1.18130,1.18122
2021-04-06 06:08:00,1.18129,1.18133,1.18133,1.18125
2021-04-06 06:09:00,1.18131,1.18123,1.18133,1.18122
2021-04-06 06:10:00,1.18122,1.18142,1.18148,1.18122
2021-04-06 06:11:00,1.18143,1.18138,1.18149,1.18138
2021-04-06 06:12:00,1.18138,1.18143,1.18158,1.18136
2021-04-06 06:13:00,1.18144,1.18146,1.18158,1.18142
2021-04-06 06:14:00,1.18148,1.18158,1.18160,1.18148
2021-04-06 06:15:00,1.18156,1.18167,1.18167,1.18146
2021-04-06 06:16:00,1.18168,1.18162,1.18169,1.18161
2021-04-06 06:17:00,1.18161,1.18148,1.18161,1.18147
2021-04-06 06:18:00,1.18148,1.18133,1.18148,1.18130
2021-04-06 06:19:00,1.18133,1.18132,1.18133,1.18109
2021-04-06 06:20:00,1.18132,1.18139,1.18140,1.18130
2021-04-06 06:21:00,1.18138,1.18136,1.18139,1.18130
